,id,Time,Tweet
222,179459971,2023-01-30 11:40:42+00:00,b'H5 pandemic in the making? Minks may become a bird flu vector for humans \n\nby @tdeoll\n\nhttps://t.co/KMAjtXFavA\xe2\x80\xa6 https://t.co/qxJm23C6GX'
223,2467103148,2023-01-30 11:40:03+00:00,b'The flu has moved into my chest and a tight dry cough to a whole ass wet cough. Don\xe2\x80\x99t know which was this is going but I would gnarly.'
225,843841927107792897,2023-01-30 11:39:50+00:00,"b""RT @richardcbishop: I've had enough of this flu now.\nDragging on a bit."""
228,1607392599941304321,2023-01-30 11:39:33+00:00,b'@Anymous84861064 @JackLombardi @healthbyjames Elderly die every year of the flu- more with die from the mRNA jab and younger'
229,2674007954,2023-01-30 11:39:32+00:00,"b'@SeptemberBreez2 @ericareport Yes. My arm is sore for 2-3 days. With the flu vaccine, was sore for 4...'"
231,1568139051601113088,2023-01-30 11:39:20+00:00,b'Best Synthetic Thermic Fluid in Hyderabad\nBest Synthetic Thermic Flu ..For more info visit...https://t.co/kNX8DyzPkt https://t.co/YLS6ezohSI'
233,4769346372,2023-01-30 11:39:14+00:00,"b""also turns out it was tonsillitis and not a flu / cold \xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2 here's to hoping it goes away fr now that I got the right meds ;v;"""
234,1568139051601113088,2023-01-30 11:39:12+00:00,b'Best Synthetic Thermic Fluid in Hyderabad\nBest Synthetic Thermic Flu ..For more info visit...https://t.co/uUnKoKtLWP https://t.co/tXJCNyTLId'
235,1568336789219282947,2023-01-30 11:39:02+00:00,b'@JimReaper11 @Megohelie1 yes do a Google search on egg\\chicken processing plants burning down or killed due to so c\xe2\x80\xa6 https://t.co/cOKHo2STjX'
236,1568139051601113088,2023-01-30 11:39:01+00:00,b'Best Synthetic Thermic Fluid in Hyderabad\nBest Synthetic Thermic Flu ..For more info visit...https://t.co/glaEfoBJFI https://t.co/S5VaZ3K1Ym'
237,1445422409763467265,2023-01-30 11:38:56+00:00,"b'@TaraBull808 \xe2\x80\x9cWE\xe2\x80\x9d didn\xe2\x80\x99t trust shit\n\n\xe2\x80\x9cTHEY\xe2\x80\x9d programmed and forced a population into compliance. Yes, people made ch\xe2\x80\xa6 https://t.co/iycbV8X7Nx'"
238,40805968,2023-01-30 11:38:49+00:00,b'@SJWwasteland @MatthewBetley @healthbyjames It\xe2\x80\x99s a little different for everyone. Hub and I caught original strain\xe2\x80\xa6 https://t.co/G6YDfAQFVQ'
