,id,Time,Tweet
191,4755918531,2023-02-14 14:58:44+00:00,b'#LaRevistaAlDespertar | SANTA CRUZ: Bebe de tan solo un mes de nacida fallecio con sintomas de dengue tras presenta... https://t.co/w1Y20RkQsD'
194,65405900,2023-02-14 14:58:03+00:00,b'@sarvathikari @ndtv https://t.co/vGkjqQzQ6A\n\nThis is UP model'
196,147543201,2023-02-14 14:57:11+00:00,"b'I really dont know how our conversation started talking about those people and ended talking about dengue, antib... https://t.co/ZqAJX9kAe1'"
197,1285262918158815233,2023-02-14 14:56:52+00:00,b'Vcs que tem medo da dengue tem verificado o quintal de vcs?'
198,1136477368934195201,2023-02-14 14:56:44+00:00,"b'Con estas acciones contribuyes a prevenir la presencia de mosquitos, transmisores del chikunguna, dengue y zika\nSi... https://t.co/SJzKw5RL46'"
202,1239918617082421248,2023-02-14 14:54:23+00:00,"b'MN to puta e aliviada ao mesmo tempo\nputa pela febre a dor no corpo e tudo mais, e estar apenas com infeccao urinar... https://t.co/V16QSsynRk'"
204,3027706604,2023-02-14 14:52:26+00:00,b'N e possivel q to com dengue a essa altura do campeonato'
205,2306588287,2023-02-14 14:52:21+00:00,b'Llaman a la poblacion a seguir con actividades preventivas contra el dengue https://t.co/zwUD56tt2k via @Informativo Zamora'
206,570093803,2023-02-14 14:52:17+00:00,"b'Candeias- No verao, a transmissao de doencas como dengue, Zika e chikungunya ganha impulso. A combinacao de calor e... https://t.co/ES7USTPn34'"
208,1155946648981233666,2023-02-14 14:50:05+00:00,b'Sedes confirma la muerte de otro nino por dengue en Beni.\n#RedCompaneraMundo \n#Beni \n\nLea la nota completa en:\nhttps://t.co/D6bv37rPIY'
209,718956501923192833,2023-02-14 14:50:00+00:00,"b' MUY DURA | \n\nZuni Castineira tiene dengue y critico duramente al ministro de @msaludp, Julio Borba.\n\n""No... https://t.co/C51DyrPdvD'"
210,3996220871,2023-02-14 14:49:17+00:00,"b'Desde el Hospital de Ninos en #SantaCruz, informan que hay 19 ninos que son atendidos en los pasillos debido a la s... https://t.co/qpdqIiCDPr'"
